,agencia,decisao,canal,DT_PROPOSTA,regra,publico,segmento,cheque_especial,qtd,Score_A,Score_B,TimeOut_A,TimeOut_B,Limite,lat,lon
0,14,DERIVAR,Mobile Banking PJ,2021-09-05,09,PJ,Média Renda,FALSE,5036,102,61,Consulta OK,Consulta OK,0,-23.705472958482524,-46.72437993755661
1,9,DERIVAR,Mobile Banking PF,2021-09-02,07,PF,Altíssima Renda,FALSE,1654,239,99,Consulta OK,Consulta OK,0,-23.540539539267844,-46.82409374286454
2,9,NEGAR,Mobile Banking PF,2021-09-06,04,PF,Altíssima Renda,TRUE,6165,375,35,Consulta OK,Consulta OK,0,-23.668103559357508,-46.67532707888085
3,9,DERIVAR,Mobile Banking PF,2021-09-01,07,PF,Alta Renda,FALSE,3458,250,75,Consulta OK,Consulta OK,0,-23.577948582554832,-46.242156967313754
4,7,NEGAR,Internet Banking PJ,2021-09-02,02,PJ,Alta Renda,FALSE,3011,190,79,Consulta OK,Consulta OK,0,-23.46888346681481,-46.649756676289826
5,14,DERIVAR,Mobile Banking PF,2021-09-03,06,PF,Média Renda,TRUE,1912,171,100,Consulta OK,Consulta OK,0,-23.60956650681824,-46.41020192457798
6,9,DERIVAR,Internet Banking PF,2021-09-13,07,PF,Alta Renda,TRUE,4043,431,96,Consulta OK,Consulta OK,0,-23.675937139051502,-46.37000337851733
7,18,DERIVAR,Mobile Banking PJ,2021-09-11,08,PJ,Alta Renda,FALSE,1884,255,28,Consulta OK,Consulta OK,0,-23.752130820982135,-46.71882847528113
8,1,DERIVAR,Agência Física PJ,2021-09-18,07,PJ,Altíssima Renda,FALSE,2018,76,88,Consulta OK,Consulta OK,0,-23.7129486746196,-46.77123630093996
9,4,DERIVAR,Internet Banking PF,2021-09-04,06,PF,Média Renda,TRUE,3140,499,45,Consulta OK,Consulta OK,0,-23.666630890128836,-46.459218551947814
10,17,NEGAR,Mobile Banking PJ,2021-09-06,04,PJ,Altíssima Renda,TRUE,2661,400,95,Consulta OK,Consulta OK,0,-23.68248007357238,-46.74541575373291
11,3,DERIVAR,Agência Física PJ,2021-09-05,09,PJ,Média Renda,TRUE,6505,415,67,Consulta OK,Consulta OK,0,-23.509753942773198,-46.712623332797115
12,14,NEGAR,Internet Banking PF,2021-09-01,04,PF,Massificado,FALSE,2954,30,27,Consulta OK,Consulta OK,0,-23.295200701047108,-46.717593588621995
13,8,DERIVAR,Agência Física PJ,2021-09-16,09,PJ,Média Renda,FALSE,1191,209,46,Consulta OK,Consulta OK,0,-23.53055355074844,-46.68958137414583
14,19,DERIVAR,Agência Física PF,2021-09-01,07,PF,Altíssima Renda,FALSE,5543,500,79,Consulta OK,Consulta OK,0,-23.494699283950432,-46.38996575247611
15,11,DERIVAR,Agência Física PJ,2021-09-08,07,PJ,Média Renda,FALSE,3507,491,46,Consulta OK,Consulta OK,0,-23.78405613638702,-46.67339706567639
16,13,NEGAR,Internet Banking PJ,2021-09-13,03,PJ,Altíssima Renda,FALSE,4094,435,51,Consulta OK,Consulta OK,0,-23.881168816120915,-46.38473254481144
17,10,NEGAR,Agência Física PF,2021-09-02,03,PF,Altíssima Renda,FALSE,5691,348,24,Consulta OK,Consulta OK,0,-23.713852258569364,-46.67904527949359
18,7,NEGAR,Internet Banking PJ,2021-09-02,03,PJ,Média Renda,FALSE,2610,404,57,Consulta OK,Consulta OK,0,-23.608404614475873,-46.55754987606663
19,20,DERIVAR,Internet Banking PF,2021-09-03,07,PF,Média Renda,FALSE,4438,550,65,TimeOut,Consulta OK,0,-23.742139620363346,-46.669660027101756
20,8,NEGAR,Mobile Banking PJ,2021-09-08,04,PJ,Altíssima Renda,FALSE,3909,328,51,Consulta OK,Consulta OK,0,-23.542659361201906,-46.623746012122005
21,17,NEGAR,Agência Física PJ,2021-09-11,03,PJ,Massificado,FALSE,4144,371,62,Consulta OK,Consulta OK,0,-23.45090661047217,-46.54536526213492
22,7,NEGAR,Agência Física PJ,2021-09-12,02,PJ,Alta Renda,FALSE,3018,4,96,Consulta OK,Consulta OK,0,-23.33802502894222,-46.444655721761634
23,2,NEGAR,Agência Física PF,2021-09-12,01,PF,Média Renda,FALSE,376,432,58,Consulta OK,Consulta OK,0,-23.7625266250579,-46.356456610269916
24,12,NEGAR,Mobile Banking PF,2021-09-06,04,PF,Massificado,TRUE,358,327,58,Consulta OK,Consulta OK,0,-23.552826109253136,-46.50133091247786
25,20,DERIVAR,Internet Banking PF,2021-09-12,06,PF,Massificado,TRUE,398,440,65,Consulta OK,Consulta OK,0,-23.51761250799764,-46.76276002362504
26,17,NEGAR,Agência Física PJ,2021-09-11,02,PJ,Média Renda,TRUE,5691,100,95,Consulta OK,Consulta OK,0,-23.779079989830723,-46.595041633894766
27,19,NEGAR,Internet Banking PF,2021-09-02,05,PF,Alta Renda,FALSE,3392,410,9,Consulta OK,Consulta OK,0,-23.607661980665267,-46.843195201163724
28,7,NEGAR,Agência Física PF,2021-09-14,02,PF,Altíssima Renda,TRUE,5013,34,102,Consulta OK,TimeOut,0,-23.55778885969791,-46.60525208430744
29,3,NEGAR,Agência Física PJ,2021-09-09,03,PJ,Alta Renda,TRUE,6285,127,7,Consulta OK,Consulta OK,0,-23.581136307931324,-46.6411555723057
30,5,DERIVAR,Internet Banking PF,2021-09-19,07,PF,Altíssima Renda,TRUE,5248,92,75,Consulta OK,Consulta OK,0,-23.714938522951307,-46.41045844623757
31,14,APROVAR,Internet Banking PJ,2021-09-15,10,PJ,Massificado,TRUE,2157,5,110,Consulta OK,TimeOut,1391265,-23.84301309261898,-46.51830125974088
32,16,NEGAR,Mobile Banking PF,2021-09-06,02,PF,Massificado,TRUE,5430,8,50,Consulta OK,Consulta OK,0,-23.3699118377323,-46.568239539171536
33,12,DERIVAR,Mobile Banking PF,2021-09-07,09,PF,Média Renda,TRUE,2009,380,21,Consulta OK,Consulta OK,0,-23.580019643830084,-46.68341297027247
34,6,NEGAR,Internet Banking PJ,2021-09-10,04,PJ,Média Renda,TRUE,6819,542,97,TimeOut,Consulta OK,0,-23.503734768515987,-46.68687916636903
35,19,DERIVAR,Agência Física PJ,2021-09-12,06,PJ,Alta Renda,FALSE,2606,427,25,Consulta OK,Consulta OK,0,-23.751507078038088,-46.61758308594272
36,18,NEGAR,Agência Física PJ,2021-09-19,05,PJ,Alta Renda,FALSE,1106,49,18,Consulta OK,Consulta OK,0,-23.2742285124719,-46.68344622224146
37,3,NEGAR,Internet Banking PF,2021-09-02,01,PF,Massificado,TRUE,1416,328,8,Consulta OK,Consulta OK,0,-23.43967184248033,-46.28997378611658
38,14,NEGAR,Mobile Banking PF,2021-09-16,04,PF,Massificado,TRUE,6745,475,75,Consulta OK,Consulta OK,0,-23.466557326825544,-46.67153671113638
39,1,DERIVAR,Agência Física PF,2021-09-14,09,PF,Média Renda,TRUE,3659,47,82,Consulta OK,Consulta OK,0,-24.1143167203405,-46.340239974299124
40,12,DERIVAR,Mobile Banking PJ,2021-09-13,06,PJ,Massificado,FALSE,6268,467,28,Consulta OK,Consulta OK,0,-23.716097015984857,-46.73614777471885
41,13,DERIVAR,Agência Física PF,2021-09-01,06,PF,Massificado,TRUE,6846,456,18,Consulta OK,Consulta OK,0,-23.839504055902843,-46.92838276710773
42,4,NEGAR,Agência Física PF,2021-09-19,01,PF,Média Renda,FALSE,1303,61,31,Consulta OK,Consulta OK,0,-23.376871353818565,-46.252454883016185
43,5,DERIVAR,Internet Banking PJ,2021-09-12,06,PJ,Massificado,TRUE,5136,351,78,Consulta OK,Consulta OK,0,-23.49499970707437,-46.550649871418614
44,13,NEGAR,Mobile Banking PJ,2021-09-15,03,PJ,Alta Renda,TRUE,2329,149,63,Consulta OK,Consulta OK,0,-23.33506426102573,-46.35970684147327
45,3,NEGAR,Agência Física PJ,2021-09-15,05,PJ,Média Renda,FALSE,1401,266,12,Consulta OK,Consulta OK,0,-23.85682226105761,-46.89078269514372
46,18,APROVAR,Internet Banking PJ,2021-09-20,10,PJ,Média Renda,FALSE,426,334,106,Consulta OK,TimeOut,594270,-23.428288463932418,-46.67669807186465
47,8,NEGAR,Internet Banking PJ,2021-09-19,01,PJ,Alta Renda,TRUE,1157,370,22,Consulta OK,Consulta OK,0,-23.692397050084548,-46.56057443885238
48,16,NEGAR,Mobile Banking PJ,2021-09-10,05,PJ,Massificado,TRUE,3169,232,99,Consulta OK,Consulta OK,0,-23.705843619005215,-46.66211275676491
49,17,NEGAR,Mobile Banking PJ,2021-09-18,02,PJ,Altíssima Renda,TRUE,4907,509,87,TimeOut,Consulta OK,0,-23.73152068842996,-46.488908342951355
50,15,NEGAR,Mobile Banking PJ,2021-09-04,05,PJ,Altíssima Renda,TRUE,3778,60,100,Consulta OK,Consulta OK,0,-23.531406404479537,-46.31730859202564
51,8,NEGAR,Agência Física PF,2021-09-13,05,PF,Alta Renda,TRUE,5475,200,45,Consulta OK,Consulta OK,0,-23.51867620230308,-46.724727157933025
52,9,DERIVAR,Agência Física PF,2021-09-14,08,PF,Altíssima Renda,TRUE,5438,31,24,Consulta OK,Consulta OK,0,-23.505402212228994,-46.99805648545503
53,2,NEGAR,Mobile Banking PF,2021-09-03,01,PF,Alta Renda,TRUE,3432,311,8,Consulta OK,Consulta OK,0,-23.465665109522607,-46.67306916283652
54,8,NEGAR,Agência Física PF,2021-09-14,05,PF,Massificado,FALSE,1326,120,8,Consulta OK,Consulta OK,0,-23.613077262713396,-46.926557806495595
55,9,NEGAR,Agência Física PJ,2021-09-01,02,PJ,Alta Renda,TRUE,3422,528,73,TimeOut,Consulta OK,0,-23.539246049728632,-46.4684427860693
56,3,DERIVAR,Agência Física PJ,2021-09-04,06,PJ,Média Renda,FALSE,1768,187,76,Consulta OK,Consulta OK,0,-23.408823752113957,-46.537642458692844
57,12,DERIVAR,Mobile Banking PF,2021-09-14,09,PF,Massificado,FALSE,2335,247,73,Consulta OK,Consulta OK,0,-23.29535419865859,-46.57102876642848
58,6,NEGAR,Internet Banking PJ,2021-09-13,01,PJ,Altíssima Renda,FALSE,2339,543,69,TimeOut,Consulta OK,0,-23.39606174769196,-46.35385262212251
59,20,DERIVAR,Agência Física PJ,2021-09-20,06,PJ,Massificado,TRUE,4912,513,108,TimeOut,TimeOut,0,-23.72168465026439,-46.664203538068705
60,12,NEGAR,Agência Física PJ,2021-09-17,04,PJ,Massificado,FALSE,5583,368,107,Consulta OK,TimeOut,0,-23.59543605201573,-46.48602374493199
61,1,NEGAR,Internet Banking PJ,2021-09-14,03,PJ,Média Renda,TRUE,1842,430,54,Consulta OK,Consulta OK,0,-23.499569087841603,-46.34765263800998
62,14,NEGAR,Agência Física PF,2021-09-19,05,PF,Alta Renda,FALSE,4151,269,8,Consulta OK,Consulta OK,0,-23.555363108343858,-46.899505024770654
63,19,NEGAR,Internet Banking PJ,2021-09-10,05,PJ,Média Renda,FALSE,1607,221,40,Consulta OK,Consulta OK,0,-23.188339936669628,-46.598987011563956
64,13,DERIVAR,Agência Física PJ,2021-09-02,06,PJ,Massificado,TRUE,1152,282,89,Consulta OK,Consulta OK,0,-23.5354467836202,-46.29349314881733
65,16,NEGAR,Mobile Banking PJ,2021-09-17,03,PJ,Média Renda,FALSE,5994,456,37,Consulta OK,Consulta OK,0,-23.4885077003048,-46.73520279822834
66,6,NEGAR,Mobile Banking PJ,2021-09-09,03,PJ,Média Renda,TRUE,3309,217,37,Consulta OK,Consulta OK,0,-23.475012142855203,-46.35788096298765
67,20,APROVAR,Agência Física PJ,2021-09-08,10,PJ,Altíssima Renda,TRUE,2573,536,61,TimeOut,Consulta OK,3604773,-23.294011261738603,-46.60063654848625
68,10,NEGAR,Agência Física PJ,2021-09-06,05,PJ,Alta Renda,TRUE,6018,10,28,Consulta OK,Consulta OK,0,-23.689118395831066,-46.57153818775997
69,13,NEGAR,Internet Banking PF,2021-09-20,02,PF,Massificado,TRUE,5753,323,8,Consulta OK,Consulta OK,0,-23.296225933546992,-46.52234520772042
70,18,DERIVAR,Mobile Banking PF,2021-09-08,08,PF,Alta Renda,TRUE,6091,329,80,Consulta OK,Consulta OK,0,-23.559401246814545,-46.826386488667126
71,15,DERIVAR,Internet Banking PF,2021-09-08,07,PF,Altíssima Renda,TRUE,3570,239,75,Consulta OK,Consulta OK,0,-23.358515256151243,-46.43518280122142
72,4,DERIVAR,Internet Banking PJ,2021-09-12,09,PJ,Média Renda,FALSE,522,413,2,Consulta OK,Consulta OK,0,-23.33465443780284,-46.711500524903215
73,18,DERIVAR,Agência Física PF,2021-09-05,07,PF,Massificado,TRUE,2687,521,37,TimeOut,Consulta OK,0,-23.37637448933504,-46.51287296695166
74,16,DERIVAR,Agência Física PF,2021-09-09,09,PF,Alta Renda,TRUE,6811,186,77,Consulta OK,Consulta OK,0,-23.48196831452578,-46.68299732603399
75,5,NEGAR,Agência Física PJ,2021-09-05,05,PJ,Alta Renda,FALSE,6539,242,18,Consulta OK,Consulta OK,0,-23.23255983987409,-46.47821133431565
76,9,NEGAR,Internet Banking PF,2021-09-03,03,PF,Altíssima Renda,TRUE,4998,262,68,Consulta OK,Consulta OK,0,-23.312470266571165,-46.37321277623401
77,6,NEGAR,Internet Banking PF,2021-09-17,03,PF,Massificado,TRUE,4957,363,44,Consulta OK,Consulta OK,0,-23.761854370050166,-46.65720015175902
78,9,NEGAR,Mobile Banking PJ,2021-09-03,01,PJ,Média Renda,FALSE,2840,10,6,Consulta OK,Consulta OK,0,-23.437061207274677,-46.43087024382518
79,18,DERIVAR,Agência Física PF,2021-09-04,07,PF,Alta Renda,FALSE,2000,349,88,Consulta OK,Consulta OK,0,-23.53651475158082,-47.08233751333183
80,1,NEGAR,Mobile Banking PJ,2021-09-19,04,PJ,Massificado,FALSE,1665,88,36,Consulta OK,Consulta OK,0,-23.604939189790073,-46.58339291115881
81,3,NEGAR,Agência Física PJ,2021-09-07,02,PJ,Massificado,FALSE,3838,254,38,Consulta OK,Consulta OK,0,-23.537561054051896,-46.417465426303536
82,16,NEGAR,Agência Física PJ,2021-09-07,05,PJ,Altíssima Renda,FALSE,5279,62,62,Consulta OK,Consulta OK,0,-23.35174358257767,-46.63615973348066
83,6,NEGAR,Mobile Banking PJ,2021-09-20,03,PJ,Média Renda,FALSE,1586,100,18,Consulta OK,Consulta OK,0,-23.53415559796107,-46.523023393579905
84,18,NEGAR,Mobile Banking PF,2021-09-20,04,PF,Massificado,FALSE,659,97,49,Consulta OK,Consulta OK,0,-23.57482286656027,-46.39419550334977
85,3,NEGAR,Mobile Banking PJ,2021-09-03,05,PJ,Alta Renda,FALSE,338,374,38,Consulta OK,Consulta OK,0,-23.512329666204774,-46.74401634133857
86,16,NEGAR,Agência Física PF,2021-09-02,03,PF,Altíssima Renda,FALSE,2191,380,2,Consulta OK,Consulta OK,0,-23.17195440245974,-45.997964532573306
87,10,DERIVAR,Internet Banking PJ,2021-09-09,06,PJ,Massificado,TRUE,1411,231,9,Consulta OK,Consulta OK,0,-23.460744759763568,-46.54286672961251
88,15,DERIVAR,Internet Banking PF,2021-09-13,09,PF,Massificado,FALSE,4383,483,9,Consulta OK,Consulta OK,0,-23.48225247004401,-46.48727982049837
89,20,NEGAR,Internet Banking PF,2021-09-16,03,PF,Altíssima Renda,FALSE,2190,426,99,Consulta OK,Consulta OK,0,-23.50996007037215,-46.66067437335876
90,12,NEGAR,Mobile Banking PF,2021-09-02,03,PF,Alta Renda,FALSE,4205,286,42,Consulta OK,Consulta OK,0,-23.585326847909094,-46.60873659789036
91,6,NEGAR,Internet Banking PJ,2021-09-20,04,PJ,Média Renda,FALSE,3819,64,80,Consulta OK,Consulta OK,0,-23.68913326412043,-46.73342426014556
92,1,DERIVAR,Agência Física PJ,2021-09-04,07,PJ,Altíssima Renda,TRUE,4731,508,63,TimeOut,Consulta OK,0,-23.87440559770067,-46.55797197012678
93,1,DERIVAR,Mobile Banking PF,2021-09-04,09,PF,Altíssima Renda,FALSE,5056,488,110,Consulta OK,TimeOut,0,-23.769983464639125,-46.71312648362475
94,12,NEGAR,Agência Física PJ,2021-09-03,04,PJ,Altíssima Renda,TRUE,6263,118,108,Consulta OK,TimeOut,0,-23.376968737287136,-46.18048160295221
95,7,DERIVAR,Internet Banking PJ,2021-09-10,06,PJ,Alta Renda,TRUE,6945,199,52,Consulta OK,Consulta OK,0,-23.60343912863188,-46.25556921555513
96,1,NEGAR,Mobile Banking PJ,2021-09-01,02,PJ,Alta Renda,FALSE,5346,184,92,Consulta OK,Consulta OK,0,-23.27906234065546,-46.30077535428206
97,4,NEGAR,Mobile Banking PF,2021-09-06,01,PF,Massificado,TRUE,47,379,5,Consulta OK,Consulta OK,0,-23.635289504169624,-46.5086460270597
98,8,NEGAR,Internet Banking PJ,2021-09-15,04,PJ,Massificado,TRUE,2491,351,8,Consulta OK,Consulta OK,0,-23.408265467051493,-46.65733511704281
99,13,DERIVAR,Mobile Banking PF,2021-09-17,09,PF,Altíssima Renda,FALSE,3794,221,46,Consulta OK,Consulta OK,0,-23.639749311268307,-46.63682400068622
100,18,APROVAR,Mobile Banking PF,2021-09-01,10,PF,Altíssima Renda,FALSE,3613,288,59,Consulta OK,Consulta OK,6109583,-23.337872484471305,-46.772085144429546
101,4,NEGAR,Mobile Banking PF,2021-09-13,02,PF,Média Renda,TRUE,4628,83,81,Consulta OK,Consulta OK,0,-23.404985113716464,-46.62580706622281
102,7,DERIVAR,Mobile Banking PF,2021-09-04,06,PF,Massificado,TRUE,4745,423,10,Consulta OK,Consulta OK,0,-23.538460767560753,-46.238081389332685
103,14,DERIVAR,Internet Banking PF,2021-09-18,06,PF,Alta Renda,FALSE,4811,143,76,Consulta OK,Consulta OK,0,-23.582486324389503,-46.644704494665774
104,9,NEGAR,Mobile Banking PF,2021-09-17,05,PF,Altíssima Renda,TRUE,3083,389,33,Consulta OK,Consulta OK,0,-23.56508980686837,-46.36560810506632
105,8,DERIVAR,Mobile Banking PF,2021-09-06,06,PF,Média Renda,TRUE,1881,254,11,Consulta OK,Consulta OK,0,-23.481463225264,-46.641363249107265
106,10,DERIVAR,Mobile Banking PJ,2021-09-11,08,PJ,Massificado,TRUE,655,355,21,Consulta OK,Consulta OK,0,-23.75122583050804,-46.549925787789824
107,10,DERIVAR,Mobile Banking PJ,2021-09-05,06,PJ,Alta Renda,TRUE,229,277,99,Consulta OK,Consulta OK,0,-23.342625926150752,-46.58587659516695
108,1,NEGAR,Mobile Banking PF,2021-09-19,03,PF,Massificado,TRUE,624,190,14,Consulta OK,Consulta OK,0,-23.257249135793593,-46.568141633509924
109,5,DERIVAR,Mobile Banking PF,2021-09-17,08,PF,Alta Renda,TRUE,2568,148,70,Consulta OK,Consulta OK,0,-23.472972753624923,-46.67089395909118
110,5,NEGAR,Internet Banking PF,2021-09-04,05,PF,Massificado,TRUE,6404,441,70,Consulta OK,Consulta OK,0,-23.644747356018584,-46.757739966647776
111,6,APROVAR,Agência Física PF,2021-09-10,10,PF,Massificado,FALSE,6966,301,14,Consulta OK,Consulta OK,13089114,-23.562955140723894,-46.46230127150286
112,17,NEGAR,Agência Física PJ,2021-09-14,05,PJ,Média Renda,TRUE,1424,503,76,TimeOut,Consulta OK,0,-23.727184971402767,-46.43008763532856
113,19,DERIVAR,Internet Banking PF,2021-09-14,08,PF,Massificado,TRUE,5893,117,99,Consulta OK,Consulta OK,0,-23.80580589736585,-46.86545797010262
114,20,NEGAR,Mobile Banking PF,2021-09-02,05,PF,Massificado,FALSE,1758,107,48,Consulta OK,Consulta OK,0,-23.323657604125927,-46.550512575196905
115,14,APROVAR,Internet Banking PJ,2021-09-11,10,PJ,Alta Renda,FALSE,1079,212,59,Consulta OK,Consulta OK,1977807,-23.568214827471127,-46.58099597606241
116,9,NEGAR,Agência Física PJ,2021-09-03,04,PJ,Média Renda,FALSE,334,92,81,Consulta OK,Consulta OK,0,-23.155488170788065,-46.516929216665034
117,15,APROVAR,Mobile Banking PJ,2021-09-08,10,PJ,Alta Renda,FALSE,3447,289,72,Consulta OK,Consulta OK,6270093,-23.425408714844007,-46.65353407575637
118,19,DERIVAR,Agência Física PF,2021-09-04,09,PF,Massificado,TRUE,285,413,45,Consulta OK,Consulta OK,0,-23.35397150745262,-46.29115016115339
119,10,APROVAR,Agência Física PJ,2021-09-20,10,PJ,Massificado,TRUE,1803,210,35,Consulta OK,Consulta OK,1247676,-23.50662604278181,-46.35997062386709
120,17,APROVAR,Internet Banking PJ,2021-09-20,10,PJ,Massificado,FALSE,498,357,107,Consulta OK,TimeOut,383958,-23.36602478307479,-46.57317738445174
